date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:17	59/59	---M--	200	added ('OK')	image/gif	etag:%2283304a4494acd61:0%22	https://www.banesconline.com/mantis/Website/Images/sel_parent.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/sel_parent.gif	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:18	845/845	---M--	200	added ('OK')	image/gif	etag:%22e8ed494494acd61:0%22	https://www.banesconline.com/mantis/Website/Images/secondparent.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/secondparent.gif	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:18	97/97	---M--	200	added ('OK')	image/gif	etag:%2225b83f4494acd61:0%22	https://www.banesconline.com/mantis/Website/Images/esq_white_inf.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/esq_white_inf.gif	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:19	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:18%20GMT	https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/Images/bottom.gif	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/Images/bottom.1e.delayed	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:19	519/519	---M--	200	added ('OK')	image/png	etag:%22d9efb8438370d01:0%22	https://www.banesconline.com/mantis/Website/Images/pagination.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/pagination.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:19	883/883	---M--	200	added ('OK')	image/png	etag:%2256cc2e478370d01:0%22	https://www.banesconline.com/mantis/Website/Images/img-flechas-grandes.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/mantis/Website/Images/img-flechas-grandes.png	(from https://www.banesconline.com/mantis/Website/App_Themes/TemaBanesco/TemaBanesco.css)
22:03:20	894/894	---M--	200	added ('OK')	image/x-icon	etag:%2286e93f4494acd61:0%22	https://www.banesconline.com/Mantis/WebSite/Images/favicon.ico	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Images/favicon-2.ico	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:20	5258/5258	---M-Z	200	added ('OK')	text/css	etag:%220c67678d51fd11:0%22	https://www.banesconline.com/Mantis/WebSite/Images/Banesco-iconos%20latin/StylesheetIcon.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Images/Banesco-iconos%20latin/StylesheetIcon-2.css	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:20	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2280554b784087d91:0%22	https://www.banesconline.com/Mantis/WebSite/App_Themes/TemaBanesco/TemaBanesco.css	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/App_Themes/TemaBanesco/TemaBanesco-2.css	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:21	2019/2019	---M--	200	added ('OK')	image/png	etag:%22b8a2ef40b78ed71:0%22	https://www.banesconline.com/Mantis/WebSite/Images/logo_BanescOnline.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/Images/logo_BanescOnline-2.png	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:21	143/143	---M--	302	error ('Found')	text/html	date:Sun,%2021%20Jan%202024%2002:03:20%20GMT	https://www.banesconline.com/Mantis/WebSite/salir.aspx	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/WebSite/salir.25.delayed	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
22:03:22	10540/10540	---M--	200	added ('OK')	image/png	etag:%22c8e4850fbf0d61:0%22	https://www.banesconline.com/Mantis/Website/Images/GESTION-DE-CLAVES4.png	C:/proyectos/banesco_scrap/banesco/www.banesconline.com/Mantis/Website/Images/GESTION-DE-CLAVES4-2.png	(from https://www.banesconline.com/Mantis/WebSite/login.aspx)
